mês;operador;id_loja_atual;ds_subcategoria;real;resultado_modelo;resultado_ajustado
2017-01;Operador A;Loja 1;Produto A;0,018824567;0,002153103;0,002153103
2017-01;Operador A;Loja 1;Produto B;0,017153335;0,018358206;0,018358206
2017-01;Operador A;Loja 1;Produto C;0,028016341;0;0
2017-01;Operador A;Loja 1;Produto D;0,004711945;0,002526848;0,002526848
2017-01;Operador A;Loja 1;Produto E;0,079476347;0,074358977;0,074358977
2017-01;Operador A;Loja 1;Produto F;0,098440184;0,000347426;0,000347426
2017-01;Operador A;Loja 1;Produto G;0,034840537;0,03332289;0,03332289
2017-01;Operador A;Loja 1;Produto H;0,022422357;0,014082679;0,014082679
2017-01;Operador A;Loja 1;Produto I;0,025857667;0,024171792;0,024171792
2017-02;Operador A;Loja 1;Produto I;0,046446312;0,003061812;0,003061812
2017-02;Operador A;Loja 1;Produto H;0,017571143;0,004044795;0,004044795
2017-02;Operador A;Loja 1;Produto G;0,029223342;0,023940927;0,023940927
2017-02;Operador A;Loja 1;Produto F;0,07142194;0,003932602;0,003932602
2017-02;Operador A;Loja 1;Produto B;0,007079523;0,008770357;0,008770357
2017-02;Operador A;Loja 1;Produto D;0,00659208;0,003148967;0,003148967
2017-02;Operador A;Loja 1;Produto C;0,034399517;0;0
2017-02;Operador A;Loja 1;Produto A;0,014716123;0,004753154;0,004753154
2017-02;Operador A;Loja 1;Produto E;0,054245393;0,053488667;0,053488667
2017-03;Operador A;Loja 1;Produto G;0,028341303;0,020831554;0,020831554
2017-03;Operador A;Loja 1;Produto I;0,056682605;0,001446503;0,001446503
2017-03;Operador A;Loja 1;Produto H;0,035281556;0,017371425;0,017371425
2017-03;Operador A;Loja 1;Produto F;0,055754143;0,004078304;0,004078304
2017-03;Operador A;Loja 1;Produto B;0,00403881;0,002712431;0,002712431
2017-03;Operador A;Loja 1;Produto D;0,01032914;0,001884458;0,001884458
2017-03;Operador A;Loja 1;Produto C;0,038275846;0;0
2017-03;Operador A;Loja 1;Produto A;0,031103477;0,010197821;0,010197821
2017-03;Operador A;Loja 1;Produto E;0,06842765;0,029803232;0,029803232
2017-04;Operador A;Loja 1;Produto I;0,053061603;0,011097372;0,011097372
2017-04;Operador A;Loja 1;Produto H;0,029571515;0,024726652;0,024726652
2017-04;Operador A;Loja 1;Produto G;0,028178822;0,018616763;0,018616763
2017-04;Operador A;Loja 1;Produto F;0,022561627;0,003777;0,003777
2017-04;Operador A;Loja 1;Produto E;0,052133141;0,023945429;0,023945429
2017-04;Operador A;Loja 1;Produto C;0,023281185;0;0
2017-04;Operador A;Loja 1;Produto B;0,000882039;0,001124842;0,001124842
2017-04;Operador A;Loja 1;Produto A;0,038809712;0,016923149;0,016923149
2017-04;Operador A;Loja 1;Produto D;0,011605775;0,001178286;0,001178286
2017-05;Operador A;Loja 1;Produto G;0,038159788;0,022372947;0,022372947
2017-05;Operador A;Loja 1;Produto I;0,058214568;0,014553964;0,014553964
2017-05;Operador A;Loja 1;Produto H;0,044844715;0,037063802;0,037063802
2017-05;Operador A;Loja 1;Produto F;0,017199759;0,005554092;0,005554092
2017-05;Operador A;Loja 1;Produto B;0,00030175;0,000819731;0,000819731
2017-05;Operador A;Loja 1;Produto D;0,012719929;0,003401961;0,003401961
2017-05;Operador A;Loja 1;Produto A;0,088018198;0,034115474;0,034115474
2017-05;Operador A;Loja 1;Produto E;0,055730932;0,025738847;0,025738847
2017-05;Operador A;Loja 1;Produto C;0,026646859;0;0
2017-06;Operador A;Loja 1;Produto A;0,079104963;0,039139202;0,039139202
2017-06;Operador A;Loja 1;Produto B;0,001508751;0,001788288;0,001788288
2017-06;Operador A;Loja 1;Produto C;0,046492735;0;0
2017-06;Operador A;Loja 1;Produto D;0,018406759;0,024180651;0,024180651
2017-06;Operador A;Loja 1;Produto F;0,02755211;0,01154105;0,01154105
2017-06;Operador A;Loja 1;Produto G;0,040341674;0,038856124;0,038856124
2017-06;Operador A;Loja 1;Produto H;0,044867926;0,08209773;0,08209773
2017-06;Operador A;Loja 1;Produto I;0,074393018;0,089682056;0,089682056
2017-06;Operador A;Loja 1;Produto E;0,081124367;0,061108266;0,061108266
2017-07;Operador A;Loja 1;Produto F;0,026043359;0,019813876;0,019813876
2017-07;Operador A;Loja 1;Produto H;0,05150643;0,101662745;0,101662745
2017-07;Operador A;Loja 1;Produto G;0,054477508;0,047146991;0,047146991
2017-07;Operador A;Loja 1;Produto I;0,095956548;0,144283984;0,144283984
2017-07;Operador A;Loja 1;Produto E;0,113945499;0,08181274;0,08181274
2017-07;Operador A;Loja 1;Produto C;0,030128592;0;0
2017-07;Operador A;Loja 1;Produto B;0,001601597;0,002985749;0,002985749
2017-07;Operador A;Loja 1;Produto A;0,035420825;0,044812194;0,044812194
2017-07;Operador A;Loja 1;Produto D;0,032380112;0,032142191;0,032142191
2017-08;Operador A;Loja 1;Produto I;0,039250731;0,038033616;0,038033616
2017-08;Operador A;Loja 1;Produto H;0,082586695;0,05569992;0,05569992
2017-08;Operador A;Loja 1;Produto G;0,04867462;0,028930914;0,028930914
2017-08;Operador A;Loja 1;Produto F;0,043893041;0,013221881;0,013221881
2017-08;Operador A;Loja 1;Produto E;0,156770809;0,048618264;0,048618264
2017-08;Operador A;Loja 1;Produto C;0,008054408;0;0
2017-08;Operador A;Loja 1;Produto B;0,011559352;0,007598876;0,007598876
2017-08;Operador A;Loja 1;Produto A;0,029385822;0,021327801;0,021327801
2017-08;Operador A;Loja 1;Produto D;0,009516736;0,009622387;0,009622387
2017-09;Operador A;Loja 1;Produto F;0,063019358;0,016475859;0,016475859
2017-09;Operador A;Loja 1;Produto I;0,029269765;0,009503524;0,009503524
2017-09;Operador A;Loja 1;Produto H;0,050902929;0,032795247;0,032795247
2017-09;Operador A;Loja 1;Produto E;0,159741888;0,058606257;0,058606257
2017-09;Operador A;Loja 1;Produto G;0,05765749;0,025055508;0,025055508
2017-09;Operador A;Loja 1;Produto C;0,005593984;0;0
2017-09;Operador A;Loja 1;Produto D;0,004874426;0,003481489;0,003481489
2017-09;Operador A;Loja 1;Produto B;0,016828374;0,011594184;0,011594184
2017-09;Operador A;Loja 1;Produto A;0,007288427;0,008063512;0,008063512
